command,shortcut,action,usecase
"--register","-r","Initiates the multi-step account registration process.","-r"
"--authenticate","-auth","Initiates the login process to verify user credentials and start an active session.\nAuthentication is required to access core features like ordering, viewing the cart, checking order history, etc.","-auth"
"--disconnect","-dis","Logs the current user out, ending the active session.", "-dis"
"--menu","-m","Displays the full coffee shop menu (Tabulate).","-m"
"--order","-o","Initiates the order process, allowing you to begin adding items to your cart.","-o"
"--quantity","-q","Primary method for initial item selection. Available ONLY when placing a new order.\nAdds the item with the specified quantity to the cart (default is 1).","Americano -q 3"
"--cart","-c","Displays the current cart contents and total price.","-c"
"--add","-a","Used for in-cart modification. Adds the specified quantity of an existing item to the cart.\nAvailable ONLY within the cart view.","Macchiato -a 3"
"--delete","-d","Used for in-cart modification. Removes the specified quantity of an existing item from the cart.\nAvailable ONLY within the cart view.","Macchiato -d 2"
"--pay","-p","Initiates the final transaction sequence, confirming the order and processing payment using the user's stored account balance.\nAvailable ONLY within the cart view.","-p"
"--orderhistory","-oh","Displays a list of all past orders for the current user, allowing the user to select an Order ID for a late ticket request.","-oh"
"--ticket","-t","Requests a ticket for a past order (by ID).","-t ABC123"
"--shortcuts","-sh","Displays this comprehensive list of all available commands and shortcuts.","-sh"